,lat,lng,date_photo,device_platform,device_model,viewing_angle,rain,bottom,fu_value,fu_processed,fu_observed,sd_depth,p_cloud_cover,p_temperature,p_ph,p_conductivity,p_colour,fu_processed_clouds,fu_processed_old,hue_angle,hue_angle_centre,hue_angle_centre_clouds,hue_angle_centre_old,hue_angle_clouds,hue_angle_old,macrophytes,overcast_hue_best,overcast_hue_best_fu,overcast_hue_center,overcast_hue_center_fu,p_chla,p_dissolved_oxygen,p_phycocyanin,p_salinity,sunny_hue_best,sunny_hue_best_fu,sunny_hue_center,sunny_hue_center_fu,image,user_n_code,nickname,user_points,user_photo_count,user_level
0,48.7732552,9.1659367,2024-04-25 09:14:38,Android,SM-A146P,11,0,0,1,14,0,0.0,0,0,0,0,0,,,,51.204305383022,,,,,0,,0,43.58863945518,16,0,0,0,0,,0,51.204305383022,14,http://eyeonwater.org/media/eyeonwater_upload/25982.png,1525.0,lol_ldou,10.0,2.0,1.0
1,48.7732402,9.1659268,2023-05-08 08:24:58,Android,SM-G991B,0,0,0,14,13,0,0.46,100,0,6,0,0,,,59.645907651029,57.893373439242,,,,,0,56.375112599805,14,43.838727846077,16,0,0,0,0,59.645907651029,13,57.893373439242,13,http://eyeonwater.org/media/eyeonwater_upload/24203.png,1155.0,schloss4,30.0,4.0,1.0
2,48.7732159,9.1660441,2023-05-08 08:13:46,Android,motorola edge 20,7,0,0,16,15,0,1.22,100,0,7,0,0,,,,50.616504362847,,,,,0,,0,27.527452117278,19,0,0,0,0,,0,50.616504362847,15,http://eyeonwater.org/media/eyeonwater_upload/24198.png,1015.0,Schloss1,10.0,5.0,1.0
3,48.773346,9.1659523,2022-06-25 08:54:24,Android,SM-A528B,2,0,0,15,14,0,19.0,75,0,0,0,0,,,51.363776829098,53.015490325995,,,,,0,46.128859114952,15,48.68884025021,15,0,0,0,0,51.363776829098,14,53.015490325995,14,http://eyeonwater.org/media/eyeonwater_upload/20672.png,,,,,
4,48.7733064,9.1659696,2022-06-25 08:50:53,Android,SM-G980F,4,0,0,15,13,0,0.0,25,22,0,0,0,,,60.644248706838,60.730364874875,,,,,0,58.588953452961,13,58.662561857286,13,0,0,0,0,60.644248706838,13,60.730364874875,13,http://eyeonwater.org/media/eyeonwater_upload/20670.png,,,,,
5,48.773238,9.1659328,2022-04-30 08:44:42,Android,SM-G970F,0,1,0,16,13,0,0.275,100,12,0,0,0,,,59.072375838773,59.945157077259,,,,,0,53.738990373994,14,54.660017010838,14,0,0,0,0,59.072375838773,13,59.945157077259,13,http://eyeonwater.org/media/eyeonwater_upload/20280.png,,,,,
6,48.7731844,9.1660008,2022-04-30 08:44:10,Android,M2101K9G,2,1,0,15,17,0,0.27,100,5,0,0,0,,,36.792673913072,33.044385783587,,,,,0,,0,94.172481489041,8,0,0,0,0,36.792673913072,17,33.044385783587,18,http://eyeonwater.org/media/eyeonwater_upload/20279.png,,,,,
7,48.7730972,9.1660464,2022-04-30 08:38:40,Android,SM-G991B,6,1,0,14,19,0,0.27,75,0,0,0,0,,,,28.248246217974,,,,,0,,0,304.41400506357,1,0,0,0,0,,0,28.248246217974,19,http://eyeonwater.org/media/eyeonwater_upload/20278.png,794.0,fauserja,100.0,25.0,2.0
8,48.7731686,9.1660147,2022-04-30 08:38:29,Android,M2101K9G,4,1,0,14,16,0,0.27,100,5,0,0,0,,,44.387018279975,44.788894652039,,,,,0,31.533632196338,18,31.084566661534,18,0,0,0,0,44.387018279975,16,44.788894652039,16,http://eyeonwater.org/media/eyeonwater_upload/20277.png,785.0,BBneo,30.0,5.0,1.0
9,48.7732817,9.1659463,2022-04-30 08:38:24,Android,Pixel 3a,1,1,1,16,17,0,0.275,100,12,0,0,0,,,,35.989875273898,,,,,0,,0,6.341451276051,21,0,0,0,0,,0,35.989875273898,17,http://eyeonwater.org/media/eyeonwater_upload/20276.png,254.0,reiner,200.0,28.0,2.0
10,48.7732032,9.1659708,2022-04-30 08:33:23,Android,SM-G991B,6,1,0,15,7,0,0.0,100,10,0,0,0,,,,112.36869738197,,,,,0,,0,226.83207270097,2,0,0,0,0,,0,112.36869738197,7,http://eyeonwater.org/media/eyeonwater_upload/20274.png,794.0,fauserja,100.0,25.0,2.0
11,48.7732393,9.1659611,2022-04-30 08:33:05,Android,SM-G920F,1,1,0,17,16,0,0.0,100,0,0,0,0,,,42.696125552406,44.048510898179,,,,,0,,0,24.674318386218,20,0,0,0,0,42.696125552406,16,44.048510898179,16,http://eyeonwater.org/media/eyeonwater_upload/20273.png,,,,,
12,48.7732711,9.1659135,2022-04-30 08:33:04,Android,SM-G970F,0,1,0,15,13,0,0.0,100,0,0,0,0,,,60.074867040749,61.677408724928,,,,,0,55.80705821161,14,58.29421351447,13,0,0,0,0,60.074867040749,13,61.677408724928,13,http://eyeonwater.org/media/eyeonwater_upload/20272.png,773.0,komalchhaya,80.0,10.0,1.0
13,48.7731346,9.1659435,2022-04-30 08:29:13,Android,SM-G920F,2,1,0,2,15,0,0.0,100,0,0,0,0,,,49.218724431481,49.278851725794,,,,,0,,0,35.121809469007,17,0,0,0,0,49.218724431481,15,49.278851725794,15,http://eyeonwater.org/media/eyeonwater_upload/20264.png,,,,,
